venueType	venueTypeLabel	venueTypeDescription	curation
Q17000321	Stadthalle	type of multi-purpose event venue, usually municipally owned	yes
Q253275	lecture hall	large room for spoken teaching with a space for a teacher and a listener space	yes
Q1378975	convention center	building designed to hold a convention	yes
Q1329623	cultural center	facility where culture and arts are promoted (wide definition)	yes
Q230752	auditorium	room with a space for presenter(s) and an audience space, often used for speeches, lectures, or performances	yes
Q2099281	plenary hall	room for people to discuss and debate	yes
Q21042882	Q21042882		
Q10498305	Indoor football arena	indoor arena used for association football	
Q10403143	Q10403143	Places where opium is smoked	
Q85769249	independent movie theater	Movie theater which screens non-mainstream films	
Q478679	café-chantant	type of musical establishment associated with the belle époque in France	
Q337912	pilgrims' way	a standard route that pilgrims take	
Q2306073	Soziokulturelles Zentrum	Einrichtung soziokultureller Art	
Q2593288	cultural centre in the Netherlands		
Q2080521	market hall	covered space traditionally used as a marketplace	
Q68773139	music center	dedicated facility for performing or recording music	
Q153562	opera house	theatre building used for opera performances	
Q25553679	Q25553679		
Q32350958	bingo hall	building used for bingo; often former theatres or cinemas	
Q7304111	Red Envelope Club	Taiwanese cabaret style	
Q118353137	temperance hall	Community hall established for people to meet under temperance rules	
Q121132952	Q121132952		
Q26791288	Sokol house	building of the Sokol movement	
Q1402892	Transportable Raumerweiterungshalle		
Q7279719	racino	gambling venue that offers both racing and casino games	
Q100975433	arts residency		
Q55622767	memorial hall	hall built to commemorate an individual or group	
Q24354	theatre building	building designed for presentation of dramatic performances	
Q12058445	theatron		
Q1298903	show booth	wettersicherer Veranstaltungsort für Volkstheaters, Schausteller und Puppenspieler	
Q45091505	Q45091505		
Q50330340	former music venue	any venue that has closed of stopped hosting music events	
Q1225411	Tingeltangel		
Q1020542	entryway	hall that is generally located at the front entrance of a house	
Q96794744	Q96794744		
Q1702970	themed walk	pathway with information signs	
Q16627535	centre culturel de rencontre	projet culturel international autour  des monuments historiques	
Q2328898	Stahl-Lamellenhalle	historische selbsttragende Dachkonstruktion für Industriehallen von Junkers	
Q1324228	hypostyle	hall with a roof supported by columns	
Q56827005	self-managed social center	community self-managed spaces in which anti-authoritarians self-organise activities	
Q6043159	casino hotel	a venue that hosts both casino and hotel	
Q112135415	Q112135415		
Q116141987	workers' house	association and cultural house of the labor movement	
Q7673109	tablao	Flamenco music venue	
Q107299310	community centre (Flanders)	socio-cultural centre run by the municipality and recognised and partly subsidised by the Flemish government	
Q15809409	welfare hall		
Q15882255	sports hall	building designed for indoor sports	
Q65619961	singing stage	open-air venue, where choirs perform	
Q61941618	Q61941618		
Q10547643	concert hall	auditorium, large hall, space, in a concert house or theatre building used to hold music performances	
Q1674167	Islamisches Kulturzentrum		
Q50802251	State Opera	important opera building run by a public institution	
Q1774226	climbing garden	climbing facility on natural rock walls	
Q6430846	Koothambalam	meaning temple theatre, are a type of closed hall for staging Koothu, Nangiar koothu and Koodiyattam, the ancient ritualistic art forms of Kerala, India	
Q11459155	small theater		
Q19894492	Christian study center	American Christian facility located close to universities and colleges for religious study	
Q18674739	event venue	location suitable for hosting events, indoors or outdoors	
Q2945640	LGBT community center	regional community center that provides services for gender and sexual minorities	
Q758940	Aula Magna	größter und repräsentativster Hörsaal einer Hochschule	
Q1867518	skateboarding spot	location used for skateboarding	
Q30748192	Metropolitan trail	Hiking trails	
Q22117664	kaburenjō		
Q2143825	hiking trail	path for hiking in a natural environment	
Q10698787	Q10698787		
Q105672858	Alla hopp!-Anlage	von der Dietmar-Hopp-Stiftung finanzierte Freizeit- und Begegnungstätte	
Q1954948	musical theater building	type of venue; building that hosts musicals	
Q10590669	Q10590669		
Q2501058	Off-Off-Broadway	avant-garde theatrical productions in New York City	
Q10512434	Q10512434		
Q5177511	country house theatre	indoor or covered performance stage theatres built within or in the grounds of a country house	
Q2720855	Corral de comedias	Spanish open-air theatre from the 16th and 17th centuries	
Q130543439	exposition pavilion	building at an exposition such as a World's Fair	
Q87411364	karaoke club	nightclub	
Q11912890	Casal català	community center for Catalans	
Q11415970	kōhai	roof protruded over the steps leading to the entrance of a Buddhist temple or shintō shrine	
Q127688726	Q127688726		
Q125755020	Q125755020		
Q5739165	café cantante	place	
Q18119047	Q18119047		
Q4076252	balagan	temporary building for theater and circus performances	
Q112569706	amphipark		
Q415917	riding arena	fenced or otherwise enclosed but not covered area for riding horses	
Q6035115	inn-yard theatre	Nutzung englischer Gasthäuser als Theaterspielstätte	
Q1820529	zurkhaneh		
Q811312	peasants' theatre	theatre building	
Q97369404	Teatro de La Ranchería	teatro de Buenos Aires	
Q1830423	flat-floor theater	theater where the audience sits in the front row on the same level as the stage	
Q31886618	arena theatre	type of theatre building where the audience surrounds the stage	
Q3476576	Scène conventionnée		
Q1202618	sports field	outdoor sports facility	
Q7579839	sports complex	group of sports facilities	
Q2368508	surf spot	place for surfing	
Q1697586	Factory Halls	hall building for assembly work	
Q1876744	Q1876744		
Q200301	180-Grad-Kino	German term: a domed tent cinema	
Q125962796	boîte à chansons		
Q7747618	The Little Gym	child oriented fitness gym franchisor	
Q198922	Ziehweg	Skipiste, auf der sich die Wintersportler in der Regel mangels Gefälle langsam oder aus eigener Kraft fortbewegen müssen	
Q2422958	artificial ski slope	outdoor or indoor ski slope	
Q1282870	ice rink	frozen body of water and/or hardened chemicals where people can ice skate or play winter sports	
Q120052232	Q120052232		
Q120171898	Q120171898		
Q2528631	Vitaparcours	Outdoor sports course in Switzerland	
Q11338578	boxing club	sports venue	
Q56827195	Alpine skiing trail		
Q109321348	mountain bike trial track		
Q2165914	Links	oldest style of golf course	
Q420962	heritage railway	railway used for heritage/historical/tourism purposes	
Q66310866	museum village	open-air museum depicting a village	
Q1751308	Aschenplatz	Sports field with stony-granular surface	
Q1759852	sculpture garden	outdoor garden dedicated to the presentation of sculptures	
Q87933721	bassin de joutes	bassin utilisé pour pratiquer la joute nautique	
Q926439	street circuit	motorsport track composed of public roads of a city	
Q105360482	motocross circuit	racing track for motorbikes	
Q491675	dolphinarium	aquarium specifically meant to hold dolphins in captivity	
Q17563638	ethnic village	type of museum: Type of museum village in Serbia with tourist attractions	
Q2650083	museum farm	type of museum: farm, operated as a museum for demonstration and educational purposes	
Q131278649	tōriniwa	doma that runs through the machiya from the front to the back	
Q113715571	motocross track	circuit en général non bitumé, dédié à la pratique du moto-cross	
Q19601972	riding school	school teaching horse riding and jockey training	
Q1232319	kart circuit	race track designed for kart racing	
Q5404309	Ethnic theme park	amusement park themed on traditions and cultures of ethnic groups	
Q108397774	royal box	theater box used by royalty and their guests	
Q94196270	rallycross circuit	circuit automobile dédié au rallycross	
Q120085227	disc golf tee pad	area where disc golfers tee off	
Q11291949	Q11291949		
Q11640366	Q11640366		
Q4020213	Hemicycle to Juárez	monument in Mexico City, Mexico	
Q88075931	stage	part of a hiking trail, sometimes a subdivision of a section	
Q7979105	Wedding mandap	hindu wedding pavilion	
Q105755419	football pitch	pitch for playing association or rugby football; also used for athletics throwing event at specialized stadiums	
Q30750411	salle de musculation/cardiotraining	type d'équipement sportif	
Q26868902	beach volleyball court	surface for the practise of the sport	
Q2617766	speed skating rink	ice rink designed for speed skating	
Q648116	via ferrata	protected climbing route found in the Alps and certain other locations	
Q809889	baseball field	field on which baseball is played (for the whole stadium, see baseball park)	
Q24906026	writer's home	home preserved as a literary landmark	
Q123138688	Freemasons' Hall, Molesworth Street		
Q133215	casino	facility which houses and accommodates certain types of gambling activities	
Q121085051	motorboat race track	type d'équipement sportif	
Q121085037	structure artificielle d'escalade	type d'équipement sportif	
Q6763849	wrestling ring	space in which a professional wrestling match occurs	
Q121084968	aire de décollage	type d'équipement sportif	
Q63497627	national pavilions at the Venice Biennale	national representation at the Venice Biennale	
Q114074221	Billiards Academy	Place where cue sport is teached and tournament place	
Q1638962	chitalishte	typical Bulgarian public institution and building that fulfills several functions at once, such as a community centre, library, and a theatre	
Q15903924	District Elderly Community Centre		
Q18206517	Idea Store	system of libraries and learning centres in Tower Hamlets, London	
Q115092448	spiegeltent	festival tent	
Q121084964	aire mixte (décollage et atterrissage)	type d'équipement sportif	
Q109650317	Hindernisfreie Wege	Für Rollstuhlfahrer geeignete markierte Wege in der Schweiz.	
Q1180029	sambadrome	exhibition place for the Samba schools parades	
Q10424031	Q10424031		
Q42679632	theatre hall	hall used for theatre	
Q10579455	Q10579455		
Q96083918	former movie theater	building or architectural structure no longer used as a movie theater, currently existing or not	
Q113383503	agricultural showground	venue designed to host agricultural shows	
Q17174312	Maisons de quartier	espace d'accueil et de loisirs implanté dans les périmètres des quartiers de grandes villes	
Q111235985	theatre church	theater in a former church building	
Q54959118	civil guard house		
Q3155645	hall of mirrors	Room in castles with decorative arrangement of mirrors	
Q1475403	kunsthalle	facility that mounts temporary art exhibitions	
Q19688772	Wikimedia regional meeting place	Meeting place for people related to free knowledge	
Q85822056	meat hall	covered market spaces where meat is sold	
Q128778368	Giant Hill	size class of a ski jumping hill	
Q18326400	flying theater	type of movie theaters	
Q121084925	site de spéléologie sportive et/ou éducative	type d'équipement sportif	
Q121085159	sports gym	type d'équipement sportif	
Q832429	dohyō	space in which a sumo wrestling bout occurs	
Q1643682	ridgeway	type of road	
Q682943	cricket field	grassy ground on which the game of cricket is played	
Q3325635	Valencian trinquet	court used in the Valencian Community for two different modalities of Valencian pilota	
Q1477533	summer toboggan	type of ride	
Q118773714	terrain de polo-vélo		
Q118773655	relais rando-vélo		
Q118773527	espace trial dédié à une activité principale		
Q26205080	underwater diving site	place where diving activity takes place	
Q1755019	cable skiing venue	installation	
Q184590	runway	area of surface used by aircraft to takeoff from and land on	
Q21045019	Autofahrerrundwanderweg		
Q118773605	piste de descente		
Q28843555	production hall	hall wherein goods are industrially made, or processed	
Q3478758	GRP-Fernwanderweg	Weitwanderweg in Frankreich	
Q1621657	equestrian facility	Kind of facility	
Q44851035	salle des musiques actuelles	salle de concert (ou lieu de pratique musical) spécialisé dans les musiques actuelles	
Q805248	jeu de paume building	"building for the ""jeu de paume"" game in Baroque times, often also used for theatrical purposes or later rebuilt as a theatre"	
Q15238752	Narodny dim	community hall, used for cultural and social purposes by Ukrainians in Ukraine and in the Ukrainian diaspora	
Q60489733	Fjärilsträdgården, Skansen		
Q60489467	Växthuset, Skansen		
Q7362268	Roman amphitheatre	large, circular or oval open-air venues with raised seating	
Q60489266	Skogaholm´s Kitchen Garden	a traditional kitchen garden at the world’s oldest open-air museum in Stockholm	
Q20108753	Q20108753		
Q60554819	Bookbindery, Skansen	the museum contains tools for stapling, cutting, binding, gilding and other techniques.	
Q60489235	Herb Garden, Skansen	Herb Garden at Skansen that contains some one hundred herbs that have a long history in Sweden	
Q876542	Thingstätte	open-air theatre built in Nazi Germany	
Q4165610	Q4165610	cultural institution in the Soviet Union	
Q60228075	Fröstorp	building in Stockholm Municipality, Stockholm County, Sweden	
Q54831	amphitheatre	open-air venue used for entertainment and performances	
Q52815	adult movie theater	type of movie theater	
Q60850939	Hellenistic theatre	theatre building built in Hellenistic Greek time	
Q10692700	indoor tennis venue	indoor venue where tennis is played	
Q24933318	Gallo-Roman amphitheatre	type de construction typique des provinces gallo-romaines de la Rome antique, combinant les caractéristiques d'un théâtre et d'un amphithéâtre	
Q663867	Haute Route	Road in France and Switzerland	
Q6634155	national stadium	sport stadium, which typically serves as the primary or exclusive home for one or more of a country's national representative sports teams	
Q2528224	hemicycle	semicircular, or horseshoe-shaped, debating chamber	
Q35012916	lake stage	theatre stage on a lake or river	
Q88077236	winter trail	trail with itinerary and markings adapted to the winter season	
Q117752204	Regional Environmental Education Center		
Q2948561	fair ground	permanent exhibition for hosting fairs	
Q933851	obstacle course	series of challenging physical obstacles an individual or team must navigate for sport	
Q3958661	sphaeristerium	courtfield for tamburello and several handball sports	
Q15785472	Bannita		
Q654526	grindhouse	low-budget movie theater that shows mainly exploitation films	
Q104839872	Markthalle	Als La Halle (la al) werden in Frankreich die überdachten Wochenmärkte (französisch marché couvert) bezeichnet	
Q114142486	surf park	outdoor facilities for surfing, generally with an artificial wave	
Q116783080	connecting hiking path	type of Swedish path than connects to a hiking trail	
Q56062468	Großmarkthalle	establishment that offers goods for sale to commercial resellers and bulk buyers	
Q3364296	exhibition site	site with infrastructure for larger exhibitions	
Q6988054	neighborhood theater		
Q65218586	Q65218586	building in Budapest District XX, Hungary	
Q8194637	Kōminkan	Japanese community center	
Q77115	community center	public location where members of a community tend to gather for group activities, social support, public information, and other purposes	
Q1435490	people's house	community centre for the working class	
Q2945309	training ground	Area where football teams train	
Q106115017	retreat center	site for spiritual or other retreats	
Q3819630	Centros Andaluces	cultural associations dedicated to Andalusian nationalism	
Q117187730	open-air event venue	outdoor space equipped to host events	
Q1763828	multi-purpose hall	building usable for various events (sports, culture, etc.)	
Q37985280	American football stadium	sports venue for American football	
Q2405106	Q2405106		
Q60553427	Old Shop, Skansen	museum shop at the world’s oldest open-air museum in Stockholm	
Q115524266	yose	theatre building where yose (18th century Japanese theatrical form) is staged	
Q60501557	Röda längan, Skansen	building in Sweden	
Q1049757	multi-purpose sports venue	venue designed to be used for multiple types of sports events	
Q1640361	climbing area	small geographical region with a concentration of opportunities for climbing	
Q130485412	outdoor sports facility		
Q1777138	race track	facility built for racing of animals, vehicles, or athletes	
Q3504364	superclub	nightclub owned and managed by a dance music record label	
Q1698619	playhouse	theatre intended primarily to show plays	
Q11183017	open-air theatre	outdoor theatre in summer	
Q118773768	cycling venue	famille d'équipements sportifs dédiés aux sports cyclistes	
Q10669728	Windmühlen auf Skansen	three windmills in the open-air museum Skansen in Stockholm, Sweden	
Q60489687	King Oscar’s Terrace	terrace named after King Oscar II built for the Stockholm Exhibition of 1897	
Q477396	circus	large open-air venue used for chariot races and other events in the ancient Roman Empire, sometimes inclusive of open fields and large plazas	
Q108990268	Ball Hockey Pad	Concrete area on which to play ball hockey	
Q121084863	outdoor playground	famille d'équipements sportifs	
Q105957588	university sports venue		
Q15523640	Q15523640		
Q2289314	Singspielhalle	Aufführungsort für Varieteveranstaltungen	
Q21550483	community museum	building or space for a museum that is founded, run, or patronized by local communities	
Q11548891	Q11548891		
Q45734748	Green Stop Hike	type of Belgian hiking path	
Q109376893	long-distance nature trail (Japan)	network of 10 hiking trails in Japan	
Q130314575	fourth category bullring	In Spain it corresponds to non-fixed, removable portable bullrings	
Q60565152	Goldsmith’s workshop, Skansen	workshop at the outdoor museum Skansen	
Q130314383	third-class bullring	All permanent bullrings that are not second or first category	
Q909906	skatepark	place built for skating	
Q130314369	second-class bullring	Bullrings with a capacity of more than 5,000 spectators, with a proven bullfighting tradition and which hold a minimum of 5 general bullfighting shows per season, of which at least 4 must be bullfights.	
Q3503155	riding hall	building (often part of an equestrian facility) that is specially designed for indoor horse riding	
Q60488917	Sagaliden, Skansen	building in Stockholm Municipality, Stockholm County, Sweden	
Q100996875	wakeboarding resort	water surface developed for and with infrastructure for wakeboarding	
Q28152011	ring	stage used for bouts in many martial arts and professional wrestling	
Q57901249	aire de cerfs volants		
Q3701456	dance hall	type of music venue in Jamaica	
Q121084961	site d'activités aériennes	famille d'équipements sportifs	
Q121084996	site de modélisme	famille d'équipements sportifs	
Q129986018	tilt yard	enclosed courtyard for jousting or knight's games	
Q67202678	Nine-pin bowling alley	location where bowling is practiced	
Q12608280	Olle	characteristic entryway found in residences on Jeju Island, South Korea	
Q641226	arena	enclosed area designed to host sporting events, theater, and musical performances	
Q64654999	former theater	building or architectural structure no longer used as theatre, currently existing or not	
Q7932499	vineyard style	concert hall design that features sloping terraced seating sections around the stage	
Q2396648	Q2396648		
Q94498	kagura-den	building within a Shinto shrine designated to Kagura performance	
Q121422790	winter sports venue	sports venue intended for winter sports	
Q207694	art museum	building or space for the exhibition of art (for institution, use Q3196771)	
Q11156810	Ivo Caprinos Supervideograf		
Q24699794	museum building	building housing a museum	
Q5338445	Edisonia Hall	gereneric name for exhibition halls that displayed the inventions of Thomas Alva Edison's company	
Q31838271	Festsaal	Veranstaltungsstätte mit großem Raum	
Q5348452	Egyptian theatre	type of movie theater built in Egyptian revival architectural style	
Q2310313	theatre venue	place for theater performances	
Q2495455	cultuurcentrum	type of cultural center from Flanders	
Q2400020	function hall	multi-purpose hall type	
Q109718018	Landfilm	Filminstitution der DDR	
Q1060829	concert hall	building designed for music performances	
Q116240908	Barn theatre	type of theatre venue	
Q483110	stadium	place or venue for (mostly) outdoor sports, concerts, or other events	
Q1668736	piste	fencing playing area	
Q115442063	privat theatre	privately owned theatre building	
Q1408812	festival theatre		
Q59464648	Q59464648		
Q1143046	odeon	ancient concert hall for performances and competitions	
Q57659484	exhibition hall	building built or used exclusively or primarily for exhibitions; may be a permanent facility or a temporary structure	
Q2420653	tie	kind of German public square where events are held	
Q17049335	Bourse du Travail	French form of the labour council	
Q105671719	Modern amphiteatre	Semicircular modern open air-theatre with grades	
Q12773090	Q12773090		
Q1799602	ski tunnel	piste de ski nordique aménagée dans un tunnel	
Q2190251	arts center	functional community center with a specific remit to encourage arts	
Q247560	Le Zénith	type of multi-purpose halls and indoor arenas in France	
Q112688641	performance hall	room for live performances with an audience space and a stage	
Q5073536	Chapter house	local government meetinghouses of the Navajo Nation	
Q4951589	box house	Former type of theather and brothe;	
Q2974242	Rancy circus	cirque fixe construit par Théodore Rancy au XIXe siècle	
